Tx,Ty,Tz,A1x,A1y,A1z,A2x,A2y,A2z
-6.985912695685900615e-14,1.000000000000000000e+00,-2.208718528794893082e-14,1.000000000000000000e+00,6.985912695685900615e-14,0.000000000000000000e+00,1.542991481150492853e-27,-2.208718528794893082e-14,-1.000000000000000000e+00
-1.570731731167985049e-02,9.998766324816628082e-01,5.199691536529364726e-14,9.998766324816628082e-01,1.570731731167985049e-02,-1.748655559599449599e-17,-8.342164471942551871e-16,5.199022596800641268e-14,-1.000000000000000000e+00
-3.141075907807681228e-02,9.995065603657331543e-01,-2.576838283587213812e-14,9.995065603657332653e-01,3.141075907807681922e-02,8.147020278131494396e-17,8.908344672434804848e-16,-2.575310865355835703e-14,-1.000000000000000000e+00
-4.710645070983233290e-02,9.988898749619609108e-01,-5.337736444590182504e-14,9.988898749619611328e-01,4.710645070983233984e-02,1.393745470230042632e-16,2.653638011140319963e-15,-5.331154345693635955e-14,-1.000000000000000000e+00
-6.279051952926144320e-02,9.980267284282747786e-01,9.202993869978949576e-14,9.980267284282748896e-01,6.279051952926145708e-02,1.518529751282218944e-16,-5.627054335236546850e-15,9.185787356520596172e-14,-1.000000000000000000e+00
-7.845909572770475016e-02,9.969173337331390661e-01,1.088254025124689433e-13,9.969173337331390661e-01,7.845909572770475016e-02,2.462092897719543056e-16,-8.292892364632014641e-15,1.085092474734014368e-13,-1.000000000000000000e+00
-9.410831331839722425e-02,9.955619646030910985e-01,1.104359264411558631e-14,9.955619646030910985e-01,9.410831331839722425e-02,2.011402464404843747e-16,-8.390462978061378590e-16,1.101350975838492031e-14,-1.000000000000000000e+00
-1.097343110911515179e-01,9.939609554551679382e-01,1.978643682042258440e-14,9.939609554551680493e-01,1.097343110911515179e-01,-2.610639037837542322e-18,-2.173845886710064236e-15,1.966665917040422191e-14,-1.000000000000000000e+00
-1.253332335640461315e-01,9.921147013145105165e-01,1.067547288916478090e-13,9.921147013145105165e-01,1.253332335640461315e-01,7.566327480371542774e-17,-1.330484872296094865e-14,1.059224190911418885e-13,-1.000000000000000000e+00
-1.409012319375338995e-01,9.900236577165644203e-01,1.056043546579527303e-13,9.900236577165645313e-01,1.409012319375339273e-01,6.633886946245103996e-17,-1.481410661907979479e-14,1.045601566976962974e-13,-1.000000000000000000e+00
-1.564344650402962056e-01,9.876883405951272232e-01,7.050548713197228060e-26,9.876883405951273343e-01,1.564344650402962333e-01,3.098626901894325535e-18,3.060477651825939185e-18,4.847321113947569240e-19,-1.000000000000000000e+00
-1.719291002791891176e-01,9.851093261548125035e-01,8.949911538568516471e-14,9.851093261548123925e-01,1.719291002791891176e-01,1.390593211357238683e-16,-1.525051374990462543e-14,8.819032159301241500e-14,-1.000000000000000000e+00
-1.873813145857759210e-01,9.822872507286788402e-01,6.626155586395267968e-14,9.822872507286789512e-01,1.873813145857759210e-01,1.182727438891542216e-16,-1.229999963585526836e-14,6.511004364083646843e-14,-1.000000000000000000e+00
-2.027872953565793834e-01,9.792228106217519823e-01,-1.840598774036224527e-14,9.792228106217519823e-01,2.027872953565793557e-01,1.788532407640263854e-19,3.732675609407527342e-15,-1.802352677822206629e-14,-1.000000000000000000e+00
-2.181432413964557449e-01,9.759167619387668635e-01,-3.681197547941260223e-14,9.759167619387668635e-01,2.181432413964557171e-01,1.985066923418608252e-16,8.224009661699355640e-15,-3.588212101713127970e-14,-1.000000000000000000e+00
-2.334453638558102173e-01,9.723699203976994276e-01,3.543152639882943450e-14,9.723699203976994276e-01,2.334453638558102451e-01,1.654733750229777342e-18,-8.269716558816493708e-15,3.445293679392117264e-14,-1.000000000000000000e+00
-2.486898871646004705e-01,9.685831611286963572e-01,5.521796322039045562e-14,9.685831611286964682e-01,2.486898871646004983e-01,2.541291992103310013e-16,-1.348600377963171668e-14,5.354638872897072722e-14,-1.000000000000000000e+00
-2.638730499656067874e-01,9.645574184577341281e-01,-1.405757313636335856e-13,9.645574184577341281e-01,2.638730499656067319e-01,1.584201416743273124e-16,3.724695230895289157e-14,-1.355515617359547467e-13,-1.000000000000000000e+00
-2.789911060390453668e-01,9.602936856769964669e-01,1.251607166313263580e-13,9.602936856769964669e-01,2.789911060390453668e-01,1.081123246342083005e-16,-3.481490718292319238e-14,1.202212082528966906e-13,-1.000000000000000000e+00
-2.940403252319919170e-01,9.557930147984260438e-01,1.783080062310963782e-13,9.557930147984261549e-01,2.940403252319920280e-01,1.942607182997837880e-16,-5.224407110605898417e-14,1.704826673231048326e-13,-1.000000000000000000e+00
-3.090169943752406612e-01,9.510565162950582740e-01,-1.325231117280823924e-13,9.510565162950582740e-01,3.090169943752406612e-01,7.450250175738621524e-18,4.095897928044389256e-14,-1.260346667147741684e-13,-1.000000000000000000e+00
-3.239174181980802314e-01,9.460853588275690562e-01,1.580614197172116992e-13,9.460853588275690562e-01,3.239174181980802314e-01,1.980263023405944927e-16,-5.101149720621514834e-14,1.496037391585427184e-13,-1.000000000000000000e+00
-3.387379202455920724e-01,9.408807689541172081e-01,-1.619726921118658891e-13,9.408807689541172081e-01,3.387379202455921279e-01,8.540308549428385366e-17,5.494664698330399216e-14,-1.523680618402179721e-13,-1.000000000000000000e+00
-3.534748437792038511e-01,9.354440308298874740e-01,-1.863606258740872176e-14,9.354440308298874740e-01,3.534748437792037956e-01,5.395028375662876972e-19,6.587883986452779796e-15,-1.743280280488245093e-14,-1.000000000000000000e+00
-3.681245526846474436e-01,9.297764858882633376e-01,-3.681197547911964454e-14,9.297764858882634487e-01,3.681245526846474991e-01,1.981754655893518694e-16,1.373565089467407077e-14,-3.415395594495763981e-14,-1.000000000000000000e+00
-3.826834323647784197e-01,9.238795325114156354e-01,1.414960307508754712e-13,9.238795325114157464e-01,3.826834323647784752e-01,1.201622139170502304e-16,-5.403717130371805033e-14,1.307712708308020705e-13,-1.000000000000000000e+00
-3.971478906347841176e-01,9.177546256839795857e-01,3.681197547886222976e-14,9.177546256839796968e-01,3.971478906347840621e-01,-1.556311619063696598e-17,-1.463408153340354537e-14,3.377817991752422806e-14,-1.000000000000000000e+00
-4.115143586052037450e-01,9.114032766354023263e-01,-1.217095939308666317e-13,9.114032766354023263e-01,4.115143586052037450e-01,3.954412962928111283e-18,5.008884954749196336e-14,-1.109248954088420244e-13,-1.000000000000000000e+00
-4.257792915649890042e-01,9.048270524660588787e-01,4.785556812353168636e-14,9.048270524660588787e-01,4.257792915649890597e-01,9.293316268043022454e-17,-2.029182145341291183e-14,4.334058166547282744e-14,-1.000000000000000000e+00
-4.399391698558495212e-01,8.980275757606477338e-01,3.727212517377597674e-14,8.980275757606478448e-01,4.399391698558495767e-01,1.236155302571510450e-16,-1.628645765275112205e-14,3.352577952701607162e-14,-1.000000000000000000e+00
-4.539904997397526953e-01,8.910065241882628717e-01,-1.362043092750306528e-13,8.910065241882628717e-01,4.539904997397526953e-01,1.031671474402373315e-16,6.192738503593015771e-14,-1.213120912817851276e-13,-1.000000000000000000e+00
-4.679298142606141409e-01,8.837656300886718164e-01,-7.224350187832520160e-14,8.837656300886718164e-01,4.679298142606141964e-01,1.884337199137547571e-16,3.397141966067057533e-14,-6.375815020175054825e-14,-1.000000000000000000e+00
